"","Year","Age","Tm","Lg","Lev","Aff","Stint","From","To","bbrid"
"1",2008,21,"Eugene Emeralds","Northwest League","A-","SDP",NA,"2008-06-22","2008-08-02","anna--001dea"
"2",2008,21,"AZL Padres","Arizona League","Rk","SDP",NA,"2008-08-08","2008-08-30","anna--001dea"
"3",2009,22,"Fort Wayne TinCaps","Midwest League","A","SDP",NA,"2009-04-30","2009-07-08","anna--001dea"
"4",2009,22,"Eugene Emeralds","Northwest League","A-","SDP",NA,"2009-07-10","2009-09-06","anna--001dea"
"5",2010,23,"Fort Wayne TinCaps","Midwest League","A","SDP",NA,"2010-04-08","2010-09-06","anna--001dea"
"6",2011,24,"Lake Elsinore Storm","California League","A+","SDP",NA,"2011-04-07","2011-06-07","anna--001dea"
"7",2011,24,"San Antonio Missions","Texas League","AA","SDP",NA,"2011-06-11","2011-09-05","anna--001dea"
"8",2012,25,"San Antonio Missions","Texas League","AA","SDP",NA,"2012-04-05","2012-09-02","anna--001dea"
"9",2013,26,"Tucson Padres","Pacific Coast League","AAA","SDP",NA,"2013-04-05","2013-09-02","anna--001dea"
"10",2013,26,"Estrellas de Oriente","Dominican Winter League","FgW","",NA,"2013-10-18","2013-10-30","anna--001dea"
"11",2014,27,"New York Yankees","American League","MLB","NYY",1,"2014-04-04","2014-04-22","anna--001dea"
"12",2014,27,"Scranton/Wilkes-Barre RailRiders","International League","AAA","NYY",1,"2014-04-27","2014-07-02","anna--001dea"
"13",2014,27,"Indianapolis Indians","International League","AAA","PIT",2,"2014-07-07","2014-09-01","anna--001dea"
"14",2014,27,"Yaquis de Obregon","Mexican Pacific Winter League","FgW","",NA,"2014-10-11","2014-10-29","anna--001dea"
"15",2015,28,"Memphis Redbirds","Pacific Coast League","AAA","STL",NA,"2015-04-09","2015-09-07","anna--001dea"
"16",2015,28,"St. Louis Cardinals","National League","MLB","STL",1,"2015-04-23","2015-04-23","anna--001dea"
"17",2015,28,"Yaquis de Obregon","Mexican Pacific Winter League","FgW","",NA,"2015-10-10","2015-10-15","anna--001dea"
"18",2016,29,"Memphis Redbirds","Pacific Coast League","AAA","STL",NA,"2016-04-07","2016-08-28","anna--001dea"
"19",2016,29,"Naranjeros de Hermosillo","Mexican Pacific Winter League","FgW","",NA,"2016-11-21","2016-12-22","anna--001dea"
"20",2017,30,"Omaha Storm Chasers","Pacific Coast League","AAA","KCR",NA,"2017-04-08","2017-09-04","anna--001dea"
"21",2017,17,"DSL Royals","Dominican Summer League","FRk","KCR",NA,"2017-06-06","2017-08-26","aponte000bra"
"22",2015,17,"AZL Royals","Arizona League","Rk","KCR",NA,"2015-06-21","2015-08-26","aracen000ric"
"23",2016,18,"Idaho Falls Chukars","Pioneer League","Rk","KCR",NA,"2016-06-17","2016-09-08","aracen000ric"
"24",2017,19,"Lexington Legends","South Atlantic League","A","KCR",NA,"2017-04-06","2017-05-20","aracen000ric"
"25",2017,19,"Idaho Falls Chukars","Pioneer League","Rk","KCR",NA,"2017-06-20","2017-06-26","aracen000ric"
"26",2015,19,"AZL Royals","Arizona League","Rk","KCR",NA,"2015-06-21","2015-08-29","arroyo000mic"
"27",2016,20,"Burlington Royals","Appalachian League","Rk","KCR",NA,"2016-06-25","2016-09-01","arroyo000mic"
"28",2017,21,"AZL Royals","Arizona League","Rk","KCR",NA,"2017-07-27","2017-08-03","arroyo000mic"
"29",2017,21,"Burlington Royals","Appalachian League","Rk","KCR",NA,"2017-08-12","2017-08-31","arroyo000mic"
