"","Year","Age","AgeDif","Tm","Lg","Lev","Aff","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","bbrid"
"1","2008","21","-0.3","Eugene","NORW","A-","SDP","30","135","107","21","24","2","0","4","15","10","1","20","23",".224",".366",".355",".721","38","1","5","1","2","0","anna--001dea"
"2","2008","21","1.0","Padres","ARIZ","Rk","SDP","13","46","44","9","11","1","0","1","9","1","0","1","8",".250",".267",".341",".608","15","3","0","1","0","0","anna--001dea"
"3","2009","22","0.3","Fort Wayne","MIDW","A","SDP","17","64","55","4","11","2","0","0","5","0","0","7","13",".200",".281",".236",".518","13","1","0","0","2","0","anna--001dea"
"4","2009","22","0.7","Eugene","NORW","A-","SDP","39","175","145","27","45","13","1","5","26","7","6","23","28",".310",".416",".517",".933","75","1","4","2","1","0","anna--001dea"
"5","2010","23","1.6","Fort Wayne","MIDW","A","SDP","80","272","225","42","61","14","2","6","32","5","1","39","40",".271",".381",".431",".813","97","3","3","2","3","0","anna--001dea"
"6","2011","24","0.0","San Antonio","TL","AA","SDP","70","246","198","45","50","18","1","2","23","3","0","41","19",".253",".385",".384",".769","76","2","3","2","2","2","anna--001dea"
"7","2011","24","1.3","Lake Elsinore","CALL","A+","SDP","44","177","148","25","46","10","2","3","18","2","0","19","22",".311",".400",".466",".866","69","4","5","2","3","1","anna--001dea"
"8","2012","25","0.9","San Antonio","TL","AA","SDP","129","510","425","75","115","16","3","10","47","6","4","66","76",".271",".377",".393",".770","167","8","11","1","7","1","anna--001dea"
"9","2013","26","-0.9","Tucson","PCL","AAA","SDP","132","582","498","90","165","38","5","9","73","3","7","61","65",".331",".410",".482",".892","240","6","11","4","8","0","anna--001dea"
"10","2013-14","26","-0.3","Estrellas","DOWL","FgW","","9","38","34","1","8","2","0","0","2","0","0","4","7",".235",".316",".294",".610","10","1","0","0","0","0","anna--001dea"
"11","2014","27","-1.7","NYY","AL","MLB","NYY","12","25","22","3","3","1","0","1","3","0","0","2","6",".136",".200",".318",".518","7","0","0","0","1","0","anna--001dea"
"12","2014","27","0.0","Scranton/Wilkes-Barre","IL","AAA","NYY","36","152","130","13","25","4","3","1","14","0","1","14","20",".192",".283",".292",".575","38","0","4","0","4","0","anna--001dea"
"13","2014","27","0.0","Indianapolis","IL","AAA","PIT","29","89","68","13","16","4","0","1","7","1","0","19","5",".235",".398",".338",".736","23","2","0","1","1","0","anna--001dea"
"14","2014-15","27","-1.8","Obregon","MXPW","FgW","","17","78","59","15","19","4","0","0","9","0","1","15","12",".322",".487",".390",".877","23","1","4","0","0","0","anna--001dea"
