"","Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Name","Pos","WAR","G","AB","HR","BA","OPS","G.1","W","L","ERA","WHIP","SV","Type","Drafted.Out.of","bbrid"
"1",2016,1,NA,1,"FrRnd",1,"Phillies","Y","Mickey Moniak (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","La Costa Canyon HS (Carlsbad, CA)","moniak000mic"
"2",2016,1,NA,2,"FrRnd",2,"Reds","Y","Nick Senzel (minors)","3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Tennessee (Knoxville, TN)","senzel000nic"
"3",2016,1,NA,3,"FrRnd",3,"Braves","Y","Ian Anderson (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Shenendehowa HS (Ballston Lake, NY)","anders000ian"
"4",2016,1,NA,4,"FrRnd",4,"Rockies","Y","Riley Pint (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","St. Thomas Aquinas HS (Overland Park, KS)","pint--000ril"
"5",2016,1,NA,5,"FrRnd",5,"Brewers","Y","Corey Ray (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Louisville (Louisville, KY)","ray---000cor"
"6",2016,1,NA,6,"FrRnd",6,"Athletics","Y","A.J. Puk (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Florida (Gainesville, FL)","puk---000aj-"
"7",2016,1,NA,7,"FrRnd",7,"Marlins","Y","Braxton Garrett (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Florence HS (Florence, AL)","garret004bra"
"8",2016,1,NA,8,"FrRnd",8,"Padres","Y","Cal Quantrill (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Stanford University (Palo Alto, CA)","quantr000cal"
"9",2016,1,NA,9,"FrRnd",9,"Tigers","Y","Matt Manning (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Sheldon HS (Sacramento, CA)","mannin002mat"
"10",2016,1,NA,10,"FrRnd",10,"White Sox","Y","Zack Collins (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Miami (Coral Gables, FL)","collin002zac"
"11",2016,1,NA,11,"FrRnd",11,"Mariners","Y","Kyle Lewis (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Mercer University (Macon, GA)","lewis-000kyl"
"12",2016,1,NA,12,"FrRnd",12,"Red Sox","Y","Jason Groome (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Barnegat HS (Barnegat, NJ)","groome000jas"
"13",2016,1,NA,13,"FrRnd",13,"Rays","Y","Joshua Lowe (minors)","3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Pope HS (Marietta, GA)","lowe--000jos"
"14",2016,1,NA,14,"FrRnd",14,"Indians","Y","Will Benson (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Westminster HS (Atlanta, GA)","benson002wil"
"15",2016,1,NA,15,"FrRnd",15,"Twins","Y","Alex Kirilloff (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Plum HS (Pittsburgh, PA)","kirill000ale"
"16",2016,1,NA,16,"FrRnd",16,"Angels","Y","Matt Thaiss (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Virginia (Charlottesville, VA)","thaiss000mat"
"17",2016,1,NA,17,"FrRnd",17,"Astros","Y","Forrest Whitley (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Alamo Heights HS (San Antonio, TX)","whitle000for"
"18",2016,1,NA,18,"FrRnd",18,"Yankees","Y","Blake Rutherford (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Chaminade College Preparatory School (West Hills, CA)","ruther000bla"
"19",2016,1,NA,19,"FrRnd",19,"Mets","Y","Justin Dunn (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Boston College (Chestnut Hill, MA)","dunn--000jus"
"20",2016,1,NA,20,"FrRnd",20,"Dodgers","Y","Gavin Lux (minors)","SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Indian Trail HS (Kenosha, WI)","lux---000gav"
"21",2016,1,NA,21,"FrRnd",21,"Blue Jays","Y","T.J. Zeuch (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Pittsburgh (Pittsburgh, PA)","zeuch-002tim"
"22",2016,1,NA,22,"FrRnd",22,"Pirates","Y","Will Craig (minors)","3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Wake Forest University (Winston-Salem, NC)","craig-003wil"
