"","Year","Age","Tm","Lg","Lev","Aff","Stint","From","To","bbrid"
"1",2017,18,"DSL Royals","Dominican Summer League","FRk","KCR",NA,"2017-06-06","2017-08-24","abreu-000bri"
"2",2015,18,"DSL Royals","Dominican Summer League","FRk","KCR",NA,"2015-06-03","2015-08-22","aceved000ran"
"3",2016,19,"DSL Royals","Dominican Summer League","FRk","KCR",NA,"2016-06-10","2016-08-18","aceved000ran"
"4",2017,20,"Idaho Falls Chukars","Pioneer League","Rk","KCR",NA,"2017-06-20","2017-07-10","aceved000ran"
"5",2017,20,"AZL Royals","Arizona League","Rk","KCR",NA,"2017-07-17","2017-08-30","aceved000ran"
"6",2011,19,"Kane County Cougars","Midwest League","A","KCR",NA,"2011-05-17","2011-09-03","adam--001jas"
"7",2012,20,"Wilmington Blue Rocks","Carolina League","A+","KCR",NA,"2012-04-07","2012-09-01","adam--001jas"
"8",2013,21,"Northwest Arkansas Naturals","Texas League","AA","KCR",NA,"2013-04-05","2013-08-31","adam--001jas"
"9",2013,21,"Peoria Javelinas","Arizona Fall League","Fal","",NA,"2013-10-08","2013-11-13","adam--001jas"
"10",2014,22,"Northwest Arkansas Naturals","Texas League","AA","KCR",NA,"2014-04-08","2014-07-16","adam--001jas"
"11",2014,22,"Omaha Storm Chasers","Pacific Coast League","AAA","KCR",NA,"2014-07-19","2014-08-08","adam--001jas"
"12",2014,22,"New Britain Rock Cats","Eastern League","AA","MIN",NA,"2014-08-14","2014-08-19","adam--001jas"
"13",2014,22,"Salt River Rafters","Arizona Fall League","Fal","",NA,"2014-10-07","2014-11-13","adam--001jas"
"14",NA,NA,"","","","",NA,"","","adam--001jas"
"15",2017,25,"AZL Padres 2","Arizona League","Rk","SDP",NA,"2017-07-20","2017-07-23","adam--001jas"
"16",2017,25,"AZL Padres 1","Arizona League","Rk","SDP",NA,"2017-07-28","2017-08-07","adam--001jas"
"17",2017,25,"San Antonio Missions","Texas League","AA","SDP",NA,"2017-08-11","2017-08-11","adam--001jas"
"18",2017,25,"Northwest Arkansas Naturals","Texas League","AA","KCR",NA,"2017-08-19","2017-09-02","adam--001jas"
"19",2006,20,"AZL Cubs","Arizona League","Rk","CHC",NA,"2006-06-23","2006-08-03","alburq001alb"
"20",2007,21,"Peoria Chiefs","Midwest League","A","CHC",NA,"2007-04-12","2007-08-17","alburq001alb"
"21",2007,21,"Boise Hawks","Northwest League","A-","CHC",NA,"2007-06-19","2007-08-06","alburq001alb"
"22",NA,NA,"","","","",NA,"","","alburq001alb"
"23",2009,23,"Daytona Cubs","Florida State League","A+","CHC",NA,"2009-04-13","2009-06-28","alburq001alb"
"24",2009,23,"Tulsa Drillers","Texas League","AA","COL",NA,"2009-07-04","2009-09-07","alburq001alb"
"25",2009,23,"Aguilas Cibaenas","Dominican Winter League","FgW","",NA,"2009-10-18","2009-12-21","alburq001alb"
"26",2010,24,"Tulsa Drillers","Texas League","AA","COL",NA,"2010-04-08","2010-09-04","alburq001alb"
"27",2010,24,"Aguilas Cibaenas","Dominican Winter League","FgW","",NA,"2010-10-23","2010-12-21","alburq001alb"
"28",2011,25,"Toledo Mud Hens","International League","AAA","DET",NA,"2011-04-07","2011-09-03","alburq001alb"
