"","Year","Age","AgeDif","Tm","Lg","Lev","Aff","W","L","W.L.","ERA","RAvg","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","H9","HR9","BB9","SO9","SO.W","bbrid"
"1","2017","18","-0.7","Royals","DOSL","FRk","KCR","0","1","0","6.26","6.26","13","0","2","0","0","0","27.1","26","19","19","0","20","0","16","7","0","8","132","1.683","8.6","0","6.6","5.3","0.8","abreu-000bri"
"2","2015","18","-1.0","Royals","DOSL","FRk","KCR","3","5","0.375","3.15","3.75","14","11","1","0","0","1","60","54","25","21","2","14","0","28","8","1","8","249","1.133","8.1","0.3","2.1","4.2","2","aceved000ran"
"3","2016","19","0.0","Royals","DOSL","FRk","KCR","3","0","1","0.99","1.42","12","12","0","0","0","0","63.1","49","10","7","0","9","0","31","6","0","2","243","0.916","7","0","1.3","4.4","3.44","aceved000ran"
"4","2017","20","-0.7","Royals","ARIZ","Rk","KCR","4","3","0.571","3.13","4.58","8","2","3","1","0","0","37.1","36","19","13","2","13","0","22","7","0","7","167","1.313","8.7","0.5","3.1","5.3","1.69","aceved000ran"
"5","2017","20","-1.4","Idaho Falls","PION","Rk","KCR","0","0",NA,"6.63","8.05","5","0","1","0","0","1","19","36","17","14","0","6","0","8","1","1","0","95","2.211","17.1","0","2.8","3.8","1.33","aceved000ran"
"6","2011","19","-2.7","Kane County","MIDW","A","KCR","6","9",".400","4.23","5.18","21","21","0","0","0","0","104.1","94","60","49","9","25","0","76","6","1","3","435","1.141","8.1","0.8","2.2","6.6","3.04","adam--001jas"
"7","2012","20","-2.8","Wilmington","CARL","A+","KCR","7","12",".368","3.53","4.16","27","27","0","0","0","0","158.0","148","73","62","18","36","0","123","13","0","3","648","1.165","8.4","1.0","2.1","7.0","3.42","adam--001jas"
"8","2013","21","-3.5","Northwest Arkansas","TL","AA","KCR","8","11",".421","5.19","6.13","26","26","0","0","0","0","144.0","153","98","83","12","54","1","126","15","1","8","637","1.438","9.6","0.8","3.4","7.9","2.33","adam--001jas"
"9","2013","21","-2.0","Peoria","AZFL","Fal","","2","2",".500","4.03","4.03","7","7","0","0","0","0","29.0","25","13","13","4","7","0","24","1","0","3","120","1.103","7.8","1.2","2.2","7.4","3.43","adam--001jas"
"10","2014","22","-5.0","Omaha","PCL","AAA","KCR","1","1",".500","2.35","2.35","8","0","0","0","0","0","15.1","17","4","4","0","4","0","11","3","0","1","66","1.370","10.0","0.0","2.3","6.5","2.75","adam--001jas"
"11","2014","22","-2.6","New Britain","EL","AA","MIN","0","0","","5.14","5.14","2","1","1","0","0","0","7.0","10","4","4","0","2","0","3","0","0","1","32","1.714","12.9","0.0","2.6","3.9","1.50","adam--001jas"
"12","2014","22","-2.4","Northwest Arkansas","TL","AA","KCR","4","8",".333","5.03","5.67","19","18","1","0","0","0","98.1","107","62","55","9","30","0","89","5","0","5","428","1.393","9.8","0.8","2.7","8.1","2.97","adam--001jas"
"13","2014","22","-1.0","Salt River","AZFL","Fal","","1","1",".500","5.40","8.10","10","0","0","0","0","0","13.1","23","12","8","1","6","0","7","2","0","1","72","2.175","15.5","0.7","4.1","4.7","1.17","adam--001jas"
"14","2017","25","0.9","San Antonio","TL","AA","SDP","0","0","","0.00","0.00","1","0","0","0","0","0","2.0","1","0","0","0","0","0","2","0","0","1","7","0.500","4.5","0.0","0.0","9.0","","adam--001jas"
"15","2017","25","0.9","Northwest Arkansas","TL","AA","KCR","0","0","","7.11","7.11","5","0","2","0","0","0","6.1","3","5","5","0","4","0","11","1","0","2","27","1.105","4.3","0.0","5.7","15.6","2.75","adam--001jas"
